Wall time,Step,Value,num_steps
1485993975.99759,126201,0.9695199728,4
1485993976.26948,126301,0.4471179843,4
1485993976.53124,126401,0.7778785825,4
1485993977.32948,126701,0.6623834372,4
1485993979.49426,127501,0.6283935308,4
1485993980.82955,128001,0.6873893738,4
1485993981.38716,128201,0.9619171619,4
1485993983.00094,128801,0.9448894262,4
1485993984.10021,129201,0.910597682,4
1485993984.37143,129301,0.2222129703,4
1485993984.63792,129401,0.5686718822,4
1485993984.91031,129501,0.7915271521,4
1485993986.53087,130101,0.9069103003,4
1485993987.32965,130401,0.6862000227,4
1485993989.19375,131101,0.8796588778,4
1485993989.73379,131301,0.6574121714,4
1485993990.54214,131601,0.6559571028,4
1485993990.81021,131701,0.9607141614,4
1485993991.6066,132001,0.6135592461,4
1485993991.86955,132101,0.9230700731,4
1485993993.1957,132601,0.7112748027,4
1485993993.46326,132701,0.4988377094,4
1485993993.72967,132801,0.9384160042,4
1485993994.53972,133101,0.6053458452,4
1485993995.34062,133401,0.6164457798,4
1485993995.60579,133501,0.9755100012,4
1485993995.87435,133601,0.8136445284,4
1485993996.14081,133701,0.9331842065,4
1485993996.41416,133801,0.8728756905,4
1485993998.04084,134401,0.9004222155,4
1485993999.6484,135001,0.7860620618,4
1485994001.23964,135601,0.7042517066,4
1485994002.32585,136001,0.5640660524,4
1485994002.86543,136201,0.8510322571,4
1485994004.22045,136701,0.9049464464,4
1485994005.29563,137101,0.8399635553,4
1485994007.18196,137801,0.6946043968,4
1485994007.7158,138001,0.4307382703,4
1485994008.51694,138301,0.6828938723,4
1485994009.06334,138501,0.6832276583,4
1485994009.33968,138601,0.3041211963,4
1485994010.16516,138901,0.876136601,4
1485994010.43718,139001,0.7639463544,4
1485994010.96585,139201,0.6267772913,4
1485994011.23601,139301,0.4597939253,4
1485994012.04131,139601,0.5371185541,4
1485994016.60597,141301,0.4353144169,4
1485994016.87033,141401,0.9421561956,4
1485994017.14441,141501,0.7471346259,4
1485994018.49301,142001,0.573274374,4
1485994019.30091,142301,0.9189302325,4
1485994020.35709,142701,0.8591784239,4
1485994020.62415,142801,0.9474194646,4
1485994020.89206,142901,0.5178154707,4
1485994021.95429,143301,0.5379232764,4
1485994022.22783,143401,0.939004302,4
1485994022.49372,143501,0.8732587099,4
1485994023.03495,143701,0.9252781272,4
1485994023.57783,143901,0.7794515491,4
1485994024.10726,144101,0.9550892115,4
1485994024.64175,144301,0.8317693472,4
1485994026.85151,145101,0.7558166385,4
1485994028.19747,145601,0.6526603699,4
1485994028.46027,145701,0.8039503098,4
1485994030.86512,146601,0.9453674555,4
1485994031.13786,146701,0.6890856624,4
1485994034.1142,147801,0.5180746317,4
1485994035.45201,148301,0.8181529641,4
1485994036.24594,148601,0.7929904461,4
1485994036.50953,148701,0.4747713208,4
1485994037.32064,149001,0.9615888596,4
1485994037.84529,149201,0.8572471142,4
1485994038.11479,149301,0.5608190298,4
1485994040.2601,150101,0.963417232,4
1485994040.52203,150201,0.7927913666,4
1485994040.78358,150301,0.7304893136,4
1485994041.0535,150401,0.5135899782,4
1485994041.85069,150701,0.8108664155,4
1485994042.38277,150901,0.7657122016,4
1485994042.64674,151001,0.9676235914,4
1485994043.03586,151146,0.4939712286,4
1485994045.18741,151946,0.9670544267,4
1485994046.51745,152446,0.4189630747,4
1485994046.78439,152546,0.7014248967,4
1485994047.60741,152846,0.7979716659,4
1485994049.48861,153546,0.8147351742,4
1485994050.03279,153746,0.7164130211,4
1485994052.74817,154746,0.1540974379,4
1485994054.09338,155246,0.8503812551,4
1485994054.36981,155346,0.7571437359,4
1485994054.92563,155546,0.8468334675,4
1485994055.19632,155646,0.8993836641,4
1485994056.78198,156246,0.8184273243,4
1485994057.04852,156346,0.2227794528,4
1485994058.69261,156946,0.7284508944,4
1485994058.96862,157046,0.7537317276,4
1485994061.36478,157946,0.7063996792,4
1485994062.44396,158346,0.4842817187,4
1485994062.97572,158546,0.8376300335,4
1485994064.03983,158946,0.6954011917,4
1485994066.45449,159846,0.7086088657,4
1485994066.99854,160046,0.6589443684,4
1485994067.80187,160346,0.6443653703,4
1485994068.35149,160546,0.670109272,4
1485994068.61607,160646,0.726926744,4
1485994069.95915,161146,0.313597858,4
1485994070.75667,161446,0.6686074734,4
1485994072.08653,161946,0.3894619942,4
1485994072.61743,162146,0.8491203785,4
1485994073.68324,162546,0.4620616436,4
1485994074.22105,162746,0.4096039534,4
1485994074.48827,162846,0.9438245296,4
1485994074.76006,162946,0.3702249527,4
1485994075.30816,163146,0.5419830084,4
1485994075.84047,163346,0.9496716261,4
1485994077.1665,163846,0.7838792801,4
1485994077.9705,164146,0.6468092203,4
1485994078.50251,164346,0.9641005397,4
1485994079.31522,164646,0.7707755566,4
1485994080.11682,164946,0.6088520885,4
1485994081.1895,165346,0.8337478638,4
1485994081.99654,165646,0.8030765653,4
1485994083.07738,166046,0.9458924532,4
1485994083.34726,166146,0.6718137264,4
1485994083.61289,166246,0.6487601399,4
1485994085.47544,166946,0.5448971987,4
1485994086.01321,167146,0.6921949387,4
1485994086.54883,167346,0.8140494823,4
1485994087.35846,167646,0.678565681,4
1485994087.62525,167746,0.5433543921,4
1485994089.25638,168346,0.0031883121,4
1485994089.52361,168446,0.8431184292,4
1485994090.61447,168846,0.5657155514,4
1485994091.67103,169246,0.7427039742,4
1485994092.46944,169546,0.3094220161,4
1485994092.7306,169646,0.8517978787,4
1485994092.99484,169746,0.7270046473,4
1485994093.26469,169846,0.6075707674,4
1485994093.79661,170046,0.547683239,4
1485994094.60531,170346,0.8051102757,4
1485994096.47445,171046,0.7269948721,4
1485994096.73536,171146,0.7222214937,4
1485994098.08788,171646,0.6753934622,4
1485994098.6154,171846,0.9631514549,4
